0801030H0AAAYAY	1308010Y0AAABAB
090402000BBTZAO	0906040G0CLAAA0
0703050B0AAABAB	0604012U0AAAAAA
0408010AHBBAGAG	Withdrawn (no new code)
0108010S0BKAAA0	0108010S0BQAAA0
0108010S0BKADA0	0108010S0BQABA0
030902000BECEA0	0309020G0BHAFAG
23301003004	23304921000
23301003005	23304921001
23700407000	23705657000
22304883000	22301253011
22304883001	22301253012
22304883002	22301253013
0209000A0AAAWAW	0407010B0AACGCG
0209000A0BEAAAW	0407010B0BJACCG
0407010B0AAA7A7	0209000A0AABLBL
0407010B0AAA9A9	0209000A0AABMBM
0407010B0AAARAR	0209000A0AABNBN
0407010B0AAATAT	0209000A0AABPBP
0407010B0AABTBT	0209000A0AABQBQ
0407010B0AABUBU	0209000A0AABRBR
0407010B0AABVBV	0209000A0AABTBT
0407010B0AABWBW	0209000A0AABVBV
0407010B0AABXBX	0209000A0AABXBX
0407010B0AABZBZ	0209000A0AABYBY
0407010B0AABQBQ	0209000A0AABZBZ
0407010B0AACACA	0209000A0AACACA
0407010B0AACDCD	0209000A0AACBCB
0407010B0AACECE	0209000A0AACCCC
0407010B0AACFCF	0209000A0AACDCD
0407010B0AAACAC	0209000A0AACECE
0407010B0AAAUAU	0209000A0AACFCF
0407010X0AAAHAH	0407010N0AAAHAH
0407010X0AAAIAI	0407010N0AAAIAI
0407010X0AABFBF	0407010N0AAAJAJ
0407010X0AABLBL	0407010N0AAAKAK
0407010X0AABNBN	0407010N0AAALAL
0407010X0AAAPAP	0407010NOAAAMAM
0407010X0AAAQAQ	0407010NOAAANAN
0407010X0CDACBF	NEEDS ENDED
0407010X0AAAUAU	0407010N0AAAPAP
0407010X0AABHBH	0407010F0AAAXAX
0407010T0AAABAB	0407010X0AABPBP
0906040G0CHAJCT	0906040G0CHAJCM
0906040G0CCAACF	0906040G0CCAACM
0906040G0BVAACF	0906040G0BVAACM
190500000BBDQA0	0106040M0BBAGAH
130201100BBAWA0	130201000BBLDA0
130201000AACKCK	130201100AAALAL
130201000BBKPCK	130201100BBAYAL
1302010F0AAAAAA	130201100AAAMAM
130201000BBKLCA	1302011M0BKABAJ
130201000BBKTCA	1302011M0BKACAJ
130201000AACCCC	1302011L0AAAGAG
130201000BBJQCC	1302011L0BJAAAG
1302010J0AAAAAA	1302011L0AAAHAH
130201000AABYBY	130201100AAANAN
130201000BBKYBY	130201100BBAZAN
130201000BBKZA0	130201100BBBAA0
0902012L0BCABDC	0902012L0BCABDD
0503030	0503031
0503030	0503031
0503030	0503031
0503030	0503032
0503030	0503032
0801030H0BE	1308010Y0BC
080204AF0	1001030Z0
0802040AE	100201U0
1001010AQ	1108020AG
0703050B0BC	0604012U0BB
0801050V0BD	0801050BEBB
0303010D0	0304010AG
1003020N0BT	1003020N0BU
0106050B0BF	0106050S0BC
0407010X0DC	0407010N0BF
0407010X0BI	0407010N0BG
0407010X0BX	0407010N0BH
0407010X0CJ	0407010F0BX
0407010T0BB	0407010X0DD
1302010J0BB	1302011L0BK
