091101000BBPXA0	091101000BBPXFF
091101000BBRVA0	091101000BBRVDQ
091102000BBAPA0	091102000BBAPBB
091102000BBFMA0	091102000BBFMAI
091102000BBFQA0	091102000BBFQAI
091102000BBGSA0	091102000BBGSAI
091102000BBGTA0	091102000BBGTBA
091102000BBHHA0	091102000BBHHAI
091104000BBNRA0	091104000BBNRAU
091200000BCJMA0	0307000C0BPAAAK
091200000BCWWA0	091200000BCWWDJ
091200000BDGPA0	091200000BDGPEC
091200000BDHDA0	091200000BDHDDG
091200000BDUUA0	091200000BDUUDJ
091200000BDZXA0	091200000BDZXDJ
091200000BEAWA0	091200000BEAWDJ
091200000BEBVA0	091200000BEBVDG
091200000BEFRA0	091200000BEFREC
091200000BEGMA0	091200000BEGMDK
091200000BEKIA0	091200000BEKIDK
091200000BELXA0	091200000BELXEC
091200000BERTA0	091200000BERTDJ
091200000BERVA0	091200000BERVDY
091200000BESNA0	091200000BESNDJ
091200000BETEA0	091200000BETEEE
091200000BEWBA0	091200000BEWBDG
091200000BEWDA0	091200000BEWDDG
091200000BEWHA0	091200000BEWHEE
091200000BEWTA0	091200000BEWTDK
091200000BEZVA0	091200000BEZVEL
091200000BFAPA0	091200000BFAPEC
091200000BFEVA0	091200000BFEVDY
091200000BFKIA0	091200000BFKIDW
091200000BFLDA0	091200000BFLDDJ
091200000BFPHA0	091200000BFPHDG
091200000BFQVA0	091200000BFQVDG
091200000BFSHA0	091200000BFSHFC
1001050A0BFACA0	1001050A0BFACAM
1001050A0BFAGA0	1001050A0BFAGAB
1002010Q0BBACAT	1002010Q0BBACBK
1201020Q0AAAAAA	1201010AEAAAAAA
1201020Q0BBAAAA	1201010AEBBAAAA
1202020L0BCAAAD	1202020L0BCAACC
1202020L0BJABAD	1202020L0BJABCC
120303000BBBTA0	1203030A0BJAAAA
1203030A0BBAFA0	1203030N0BEACAF
130201000BBMACP	130201000BBMADM
130201100BBBAA0	130201100BBBAAN
1302011M0BLABA0	1302011L0BLAAAD
1305020Y0AAAAAA	1305030G0AAAAAA
1305020Y0AAABAB	1305030G0AAABAB
1305020Y0BBAAAA	1305030G0BBAAAA
1305020Y0BBABAB	1305030G0BBABAB
1306010ACAAAAAA	1306030B0AAAAAA
1306010ACBBAAAA	1306030B0BBAAAA
131005000BBCGA0	1203040C0BIAAAF
190700000BBAGA0	190700000BBAGAZ
