0605010AEAAAAAA	0803043Q0AAAAAA
0605010AEAAABAB	0803043Q0AAABAB
0605010AEAAACAC	0803043Q0AAACAC
0605010AEBBAAAA	0803043Q0BBAAAA
0605010AEBBABAB	0803043Q0BBABAB
0605010AEBBACAC	0803043Q0BBACAC
0102000AHAAAAAA	0106070B0AAAAAA
0102000AHBBAAAA	0106070B0BBAAAA
0802040AHAAAAAA	0311010B0AAAAAA
0802040AHBBAAAA	0311010B0BBAAAA
1103010AHAAAAAA	1108020AHAAAAAA
1103010AHBBAAAA	1108020AHBBAAAA
0802040AGAAAAAA	0409030S0AAAAAA
0802040AGBBAAAA	0409030S0BBAAAA
0604011L0AABMBM	0703010S0AAAAAA
0604011L0CCAABM	0703010S0BBAAAA
1203040E0BBAFAI	1203040E0BBAIAB
0101021B0BEAKAQ	0101021B0BEBEAL
0906040G0BIAHCK	0906040G0BIAICU
0704050R0BCAAAB	0205010Z0BBAAAA
23252132501	23253372500
23252132502	23253372501
23252132510	23253372502
23252132512	23253372503
23252132513	23253372504
23252132514	23253372505
23252132516	23253372506
23252132517	23253372507
23302133000	23303373084
23302133001	23303373085
23302133002	23303373086
23302133003	23303373087
23302133005	23303373088
23302133006	23303373089
23302133007	23303373090
23302133008	23303373091
22501775012	22501755012
22501775013	22501755013
22501775014	22501755014
22501775015	22501755015
22501775016	22501755016
0904010U0BKAAAA	0904010U0BXAAAA
0904010U0BKABAA	0904010U0BXABAA
0904010U0BKADAA	0904010U0BXACAA
0904010U0BKAEAA	0904010U0BXADAA
0904010U0BBAAAA	0904010H0BJARAA
0904010U0BBAEAA	0904010H0BJASAA
0904010U0BBABAA	0904010H0BJATAA
0904010U0BBAGAA	0904010H0BJAUAA
0904010AABEABAL	090401030BFAHAK
040101000BBADA0	0401010ADBCBZBP
040101000BBAHA0	0401010ADBCCABP
0605010AE	0803043Q0
0102000AH	0106070B0
0802040AH	0311010B0
0802040AG	0409030S0
1103010AH	1108020AH
0604011L0CC	0703010S0BB
0704050R0BC	0205010Z0BB
