190205200BBBDA0	190400000BBBRUI
0904010A0BPAABF	094010ADBMAHAA
091200000BFISA0	091200000BFISDW
0106040M0BBAEAE	0106040M0BBAEAA
091200000BFEPA0	091200000BFEPDW
0904010AKBBABAA	0904010ABBHADAD
0906011H0BDAFA0	0906011H0BDAFAB
0211000J0BBAAAB	0211000J0BBAAAE
0101021B0BEAKAL	0101021B0BEAKAQ
0606020W0BBADAE	0606020W0BBADAF
1306020K0	0501030Z0
1306020K0AA	0501030Z0AA
1306020K0AAAAAA	0501030Z0AAAAAA
1306020K0BB	0501030Z0BB012
1306020K0BBAAAA	0501030Z0BBAAAA
0604020W0	0704010V0
0604020W0AA	0704010V0AA
0604020W0AAAAAA	0704010V0AAAAAA
0604020W0BB	0704010V0BB
0604020W0BBAAAA	0704010V0BBAAAA
1311020L0CIAAAF	1302010Z0BBAAAA
0801050AYAAAAAA	1001010AHAAADAD
0801050AYBB	1001010AHBC
0801050AYBBAAAA	1001010AHBCAAAD
0407030AEAAAAAA	1003020AAAAADAD
0407030AEBB	1003020AABE
0407030AEBBAAAA	1003020AABEAAAD
0206010F0BBABAA	0206010F0BBABCJ
0206010F0BRABAA	0206010F0BRABCH
0206010F0BWABAA	0206010F0BWABCJ
0206010F0BFABAA	0206010F0BFABCJ
0206010F0BWAABL	0206010F0BWAACI
0502000AA	0502010A0
0502000G0	0502010B0
0502000M0	0502010C0
0502000Z0	0502010V0
0502000N0	0502020A0
0502000Q0	0502020B0
0502000B0	0502030A0
0502000V0	0502030B0
0502000AB	0502040A0
0502000AC	0502040B0
0502000E0	0502040C0
0502000H0	0502050A0
0502000K0	0502050B0
0502000Y0	0502050C0
