23156251501	23152091500
23156251502	23152091501
23156551500	23153931500
23156551501	23153931501
23701157000	23706607000
23806258001	23802098003
23806258002	23802098004
23806258003	23802098005
23806558000	23803938000
0106040M0BBACAC	0106040M0BBAIAB
0106040M0BBAFAG	0106040M0BBAJAB
0207020L0BBAAAA	0207020L0BBAAAB
0207020Y0BBAAAA	0207020Y0BBAAAE
0207020Y0BBABAD	0207020Y0BBABAF
0207020Y0BDAAAA	0207020Y0BDAAAE
0207020Y0BDABAD	0207020Y0BDABAF
0211000I0BGAIAP	0211000I0BGANAR
0301011AAAAAAAA	0301040Y0AAAAAA
0301011AABBAAAA	0301040Y0BBAAAA
0301040U0AAAAAA	0301020T0AAAAA
0301040U0BCAAAB	0301020T0BBAAAA
0301040V0AAAAAA	0301020U0AAAAAA
0301040V0BBAAAA	0301020U0BBAAAA
0302000N0AABMBM	0302000V0AAAAAA
0302000N0AABNBN	0302000V0AAABAB
0302000N0BEAABM	0302000V0BBAAAA
0302000N0BEABBN	0302000V0BBABAB
0307000C0BEAAAM	0307000C0BEAEAK
0307000C0BEABAK	0307000C0BEAFAM
0309020H0BHAAA0	0309020H0BHAEAH
0410030A0BDABAB	0410030A0AAAEAE
0601011R0BBAAAA	0601011R0BBAAAD
0601011R0BCAAAA	0601011R0BCAAAD
0601012AAAAAAAA	0601023AUAAAAAA
0601012AABBAAAA	0601023AUBBAAAA
0802040ANAAAAAA	0802030G0AAAAAA
0802040ANBBAAAA	0802030G0BBAAAA
0802040ARAAAAAA	0801050BZAAAAAA
0802040ARAAABAB	0801050BZAAABAB
0802040ARBBAAAA	0801050BZBBAAAA
0802040ARBBABAB	0801050BZBBABAB
0802040ASAAAAAA	0801050BYAAAAAA
0802040ASBBAAAA	0801050BYBBAAAA
0802040AUAAAAAA	0801050CAAAAAAA
0802040AUBBAAAA	0801050CABBAAAA
0904010AABQAAAL	0904010AABDAGAL
0904010AABQABAL	0904010AABDAHAL
0902012L0BCAAAD	1902012L0BCADDH
0906031C0AABZBZ	1104020AFAAAAAA
0906031C0BJAAAL	0906031C0CCAHAL
0906040G0BFAABD	0906040G0BFAADR
0906040G0BIAEBD	0906040G0BIAEDR
0906040G0BXACBD	0906040G0BXACDR
0906040G0CCAACM	0906040G0CCAADS
0906040G0CEADBD	0906040G0CEADDR
0906040G0CFAABD	0906040G0CFAADR
0906040G0CGAABD	0906040G0CGAADR
0906040G0CHAJCM	0906040G0CHAJDS
0906040G0CIABBD	0906040G0CIABDR
0906040G0CIARCM	0906040G0CIARDS
0906040G0CIAUCM	0906040G0CIAUDS
0906040G0CKAHBD	0906040G0CKAHDR
0906040G0CMAACM	0906040G0CMAADS
0906040G0CNACBD	0906040G0CNACDR
0906040G0CVAABD	0906040G0CVAADR
0906040G0CXACBD	0906040G0CXACDR
0906040G0DDAACM	0906040G0DDAADS
0906040G0DEACBD	0906040G0DEACDR
0906040G0DJAABD	0906040G0DJAADR
0906040N0BRAAA6	0906040N0BRAAFL
0906040N0BWAAA6	0906040N0BWAAFL
0906040N0BXABA6	0906040N0BXABFL
0906040N0BYADA6	0906040N0BYADFL
0906040N0BZAAA6	0906040N0BZAAFL
0906040N0CDAAA6	0906040N0CDAAFL
1108010AAAAAPAP	1104020AEAAAAAA
1108010AABDAAAP	1104020AEBBAAAA
1302010F0BCAAAP	1302010BBMACP
1302011M0BDABAB	1302011L0BKAEAI
1302011M0BDADAB	1302011L0BKADAI
1302011M0BDAFAH	1302011L0BKAFAI
1404000X0AAAAAA	1404000ANAAAAAA
1404000X0AAABAB	1404000ANAAABAB
1404000X0AAADAD	1404000APAAAAAA
1404000X0AAAEAE	1404000APAAABAB
1404000X0AAAFAF	1404000APAAACAC
1404000X0AAAHAH	1404000AQAAAAAA
1404000X0BCAAAA	1404000ANBBAAAA
1404000X0BDAAAA	1404000ANBCAAAA
1404000X0BDAAAB	1404000ANBCABAB
1404000X0BFAAAD	1404000APBBAAAA
1404000X0BFABAF	1404000APBBABAC
1404000X0BGAAAE	1404000APBCAAAB
1404000X0BHAAAF	1404000APBDAAAC
1404000X0BKAAAH	1404000AQBBAAAA
1501010F0BDAAAG	1501010R0BBAAAA
1501010F0BDABAH	1501010R0BBABAB
