090402000AABBBB	0913581C0AAAAAA
090402000AABFBF	0913021H0AAABAB
090402000AABJBJ	0913581A0AAAAAA
090402000AABKBK	0913581B0AAAAAA
090402000AABLBL	0913581B0AAABAB
090402000BBQEA0	0914071E0BBAAAA
090402000BBTAA0	0914061A0BBAAAA
090402000BDBNBF	0913021H0BCAAAB
090402000BDBSBJ	0913581A0BBAAAA
090402000BDBTBK	0913581B0BBAAAA
090402000BDBUBK	0913581B0BBABAA
090402000BDBVBK	0913581B0BBACAA
090402000BDBWBK	0913581B0BBADAA
090402000BDBXBK	0913581B0BBAEAA
090402000BDBYBL	0913581B0BBAFAB
090402000BDCQBB	0913581C0BBAAAA
090900000BBLCA0	0913311B0BDAAAD
090900000BBLDA0	0913311B0BDABAD
090900000BBLQA0	0913511A0BBACAE
090900000BBLTA0	0913511A0BBABAD
0913011J0AAAGAG	0913311I0AAAAAA
0913011J0BDAAAG	0913311I0BBAAAA
0913011L0AAACAC	0913311G0AAAAAA
0913011L0BDAAAC	0913311G0BBAAAA
0913011N0AAACAC	0913311D0AAAAAA
0913011N0AAAHAH	0913311D0AAABAB
0913011N0BFABAH	0913311D0BCAAAB
0913011N0BHAAAC	0913311D0BBAAAA
0913011Q0AAACAC	0913311H0AAAAAA
0913011Q0BBAAAC	0913311H0BBAAAA
0913031A0AAAAAA	0913631A0AAAAAA
0913031A0BBAAAA	0913631A0BBAAAA
0913031B0AAAAAA	0913631B0AAAAAA
0913031B0BBAAAA	0913631B0BBAAAA
0913031B0BBABAA	0913631B0BBABAA
0913031B0BBACAA	0913631B0BBACAA
0913051E0AAAAAA	0913671C0AAAAAA
0913051E0BBAAAA	0913671C0BBAAAA
0913051E0BBABAA	0913671C0BBABAA
0913051E0BBACAA	0913671C0BBACAA
0913051F0AAAAAA	0913671B0AAABAB
0913051F0AAABAB	0913671B0AAAAAA
0913051F0BBAAAA	0913671B0BBADAB
0913051F0BBABAA	0913671B0BBAEAB
0913051F0BBACAA	0913671B0BBAFAB
0913051F0BBADAB	0913671B0BBAAAA
0913051F0BBAEAB	0913671B0BBABAA
0913051F0BBAFAB	0913671B0BBACAA
0913051G0AAAAAA	0913671A0AAAAAA
0913051G0BBAAAA	0913671A0BBAAAA
0913051G0BBABAA	0913671A0BBABAA
0913051G0BBACAA	0913671A0BBACAA
0913102A0AAABAB	0913661A0AAAAAA
0913102A0BCAAAB	0913661A0BBAAAA
0913161B0AAAAAA	0913411B0AAAEAE
0913161B0AAABAB	0913411B0AAACAC
0913161B0AAACAC	0913411B0AAADAD
0913161B0BCAAAA	0913411B0BFAAAE
0913161B0BDAAAB	0913411B0BDAAAC
0913161B0BEAAAC	0913411B0BEAAAD
0913161B0BEABAC	0913411B0BEABAD
0913181J0AAAAAA	0913431B0AAAAAA
0913181J0BCAAAA	0913431B0BBAAAA
0913205A0AAACAC	0913621A0AAAAAA
0913205A0BBAAAC	0913621A0BBAAAA
0913205C0AAABAB	0913621F0AAABAB
0913205C0AAACAC	0913621F0AAAAAA
0913205C0BCAAAB	0913621F0BBABAB
0913205C0BCABAB	0913621F0BBACAB
0913205C0BCACAC	0913621F0BBAAAA
0913205E0AAABAB	0913621D0AAAAAA
0913205E0BCAAAB	0913621D0BBAAAA
0913205H0AAAAAA	0913621C0AAAAAA
0913205H0BBAAAA	0913621C0BBAAAA
0913205H0BBABAA	0913621C0BBABAA
0913205J0AAAAAA	0913621B0AAAAAA
0913205J0BCAAAA	0913621B0BBAAAA
0913205M0AAAAAA	0913621E0AAAAAA
0913205M0BBAAAA	0913621E0BBAAAA
0913226C0AAACAC	0913681A0AAAAAA
0913226C0BBACAC	0913681A0BBAAAA
0913261F0AAABAB	0913451I0AAABAB
0913261F0BCAAAB	0913451I0BCAAAB
0913261K0AAAFAF	0913451F0AAAAAA
0913261K0BCALAF	0913451F0BBAAAA
0913261K0BCANAF	0913451F0BBABAA
0913261K0BCAPAF	0913451F0BBACAA
0913261K0BCAQAF	0913451F0BBADAA
0913261L0AAAAAA	0913451K0AAAAAA
0913261L0BBAAAA	0913451K0BBAAAA
0913261P0AAACAC	0913451G0AAACAC
0913261P0BCABAC	0913451G0BCAAAC
0913261R0AAAEAE	0913451H0AAABAB
0913261R0BCAAAE	0913451H0BCAAAB
0913271C0AAARAR	0913461C0AABCBC
0913271C0BGAAAR	0913461C0BIAABC
0913281A0AAAAAA	0913472A0AAABAB
0913281A0BBAAAA	0913472A0BCAAAB
0913473A0AAAAAA	0913282A0AAABAB
0913473A0BBAAAA	0913282A0BCAAAB
0913473B0AAAAAA	0913282B0AAADAD
0913473B0BBAAAA	0913282B0BCAAAD
0914031A0AAAAAA	0914072A0AAAAAA
0914031A0BBAAAA	0914072A0BBAAAA
