0301040Z0AAAAAA	0302000X0AAAAAA
0301040Z0AAABAB	0302000X0AAABAB
0301040Z0AAACAC	0302000X0AAACAC
0301040Z0BBAAAA	0302000X0BBAAAA
0301040Z0BBABAB	0302000X0BBABAB
0301040Z0BBACAC	0302000X0BBACAC
0503010ARAAAAAA	0503022F0AAAAAA
0503010ARBBAAAA	0503022F0BBAAAA
0803042P0AAACAC	0803042W0AAAAAA
0803042P0BBABAC	0803042W0BBAAAA
0803042S0BDAAAC	0803042W0BCAAAA
090401000BBMCA0	090401000BBXUDA
090401000BBMDA0	090401000BBXSDA
090401000BBMEA0	090401000BBXTDA
091200000BFRMA0	090402000BDCJAZ
091200000BFRNA0	090402000BDCKAZ
091200000BFRPA0	090402000BDCLAZ
091200000BFRQA0	090402000BDCMAZ
091200000BFSGA0	090402000BDCNAZ
091200000BFSPA0	090402000BDCPBA
091200000BFTBA0	090402000BDCQBB
091200000BFTCA0	090402000BDCRBC
091200000BFUPA0	090402000BDCSBD
