0101010F0BDAAAU	0101010F0BDABBE
090401000BBNJBS	0913213A0BFAAAE
090401000BBNMA0	0913107A0BEAAAD
090401000BBNPA0	0913201F0BBAAAA
090401000BBNQA0	0913107A0BDAAAB
090401000BBNRA0	0913221C0BBAAAA
090401000BBNSA0	0913226C0BBAAAA
090401000BBNTA0	0913192A0BBABAA
090401000BBNUA0	0913212A0BBAAAA
090401000BBNZA0	0913141B0BCABAB
090401000BBPAA0	0913227B0BBACAC
090401000BBPBA0	0913237A0BBAAAA
090401000BBPDA0	0913236A0BBAAAA
090401000BBPEA0	0913235A0BBAAAA
090401000BBPGA0	0913238A0BBAAAA
090401000BBPHA0	0913232A0BBAAAA
090401000BBPIA0	0913233A0BBAAAA
090401000BBPJA0	0913234A0BBAAAA
090401000BBPKA0	0913231A0BBAAAA
090401000BBPLA0	0913238A0BBABAB
090401000BBPMA0	0913447A0BBAAAA
090401000BBPQA0	0913212A0BCAAAB
090401000BBPRA0	0913261J0BCAAAB
090401000BBPTA0	0913225C0BBAAAA
090401000BBPVA0	0913211B0BBAAAA
090401000BBPWA0	0913211B0BBABAB
090401000BBPXA0	0913211B0BBACAC
090401000BBPYA0	0913211B0BBADAD
090401000BBPZA0	0913227C0BBAAAA
090401000BBQCA0	0913205F0BBAEAB
090401000BBQDA0	0913226A0BBAAAA
090401000BBQFA0	0913521A0BBACAA
090401000BBQGA0	0913521A0BBAAAA
090401000BBQHA0	0913521A0BBABAA
090401000BBQIA0	0913521B0BBAAAA
090401000BBQJA0	0913181G0BBAAAA
090401000BBQKA0	0913226B0BBAHAC
090401000BBQLA0	0913226B0BBAIAC
090401000BBQMA0	0913226B0BBAJAC
090401000BBQNA0	0913226C0BBABAB
090401000BBQPA0	0913222B0BBABAB
090401000BBQQA0	0913225C0BBABAB
090401000BBQRA0	0913227B0BBABAB
090401000BBQSA0	0913221A0BBAAAA
090401000BBQUA0	0913205F0BBAAAA
090401000BBQVA0	0913205F0BBABAA
090401000BBQWA0	0913205F0BBACAA
