0101010F0BDAAAU	0101010F0BDABBE
0904010Q0BMAJAQ	0913461F0BBAJAA
0904010Q0BMAKAQ	0913461F0BBAKAA
0904010Q0BPAAAQ	0913461F0BCAAAB
0904010Q0BPABAQ	0913461F0BCABAB
0904010Q0BPACAQ	0913461F0BCACAB
0904010Q0BPADAQ	0913461F0BCADAB
0904010Q0BPAEAQ	0913461F0BCAEAB
0904010Q0BPAFAQ	0913461F0BCAFAB
0904010Q0BRAAAQ	0913461F0BEAGAD
0904010Q0BRABAQ	0913461F0BEAAAD
0904010Q0BRACAQ	0913461F0BEABAD
0904010Q0BRADAQ	0913461F0BEACAD
0904010Q0BRAEAQ	0913461F0BEADAD
0904010Q0BRAFAQ	0913461F0BEAEAD
0904010Q0BRAGAQ	0913461F0BEAFAD
0904010Q0BWAAAQ	0913461F0BFAAAE
0904010Q0BWABAQ	0913461F0BFABAE
0904010Q0BWACAQ	0913461F0BFACAE
0904010Q0BWADAQ	0913461F0BFADAE
0904010Q0BWAEAQ	0913461F0BFAEAE
0904010Q0BWAFAQ	0913461F0BFAFAE
0904010T0BGAAAD	0913261K0BCAJAE
0904010T0BGABAD	0913261K0BCAGAE
0904010T0BGACAD	0913261K0BCAEAE
0904010T0BGADAD	0913261K0BCABAE
0904010T0BGAEAD	0913261K0BCAFAE
0904010T0BGAFAD	0913261K0BCADAE
0904010T0BGAGAD	0913261K0BCAIAE
0904010T0BGAHAD	0913261K0BCAHAE
0904010T0BGAIAD	0913261M0BBAAAD
0904010T0BGAKAD	0913261K0BCAMAE
0904010T0BGALAD	0913261K0BCAKAE
0904010T0BGAMAD	0913261N0BCAAAC
0904010T0BGANAD	0913261K0BCACAE
0904010T0BIAAAD	0913261K0BDACAC
0904010T0BIABAD	0913261K0BDADAC
0904010T0BIACAD	0913261K0BDAAAC
0904010T0BIADAD	0913261K0BDAEAC
0904010T0BIAEAD	0913261K0BDABAC
0904010T0BIAFAD	0913261K0BDAFAC
0904010T0BJAAAD	0913261K0BCALAF
0904010T0BJABAD	0913261K0BCAQAF
0904010T0BJACAD	0913261K0BCAPAF
0904010T0BJADAD	0913261K0BCANAF
0904010T0BKAAAD	0913261K0BEAAAD
0904010V0AAADAD	0913261E0AAAEAE
0904010V0BDAAAD	0913261N0BCABAD
0904010V0BDAFAD	0913261E0BBACAE
0904010V0BDAGAD	0913261E0BBADAE
0904010V0BDAHAD	0913261E0BBABAE
0904010V0BDAIAD	0913261E0BBAAAE
0904010V0BGAAAD	0913261N0BBAAAB
0904010W0BGACAE	0913261R0BBAAAA
0904010W0BGAFAE	0913261R0BBABAA
0904010W0BHAAAE	0913261S0BBAAAB
0904010W0BIAAAE	0913261V0BDACAD
0904010W0BIABAE	0913261V0BDABAD
0904010W0BIACAE	0913261V0BDADAD
0904010W0BIADAE	0913261V0BDAAAD
0904010W0BIAEAE	0913261V0BDAFAD
0904010W0BIAFAE	0913261V0BDAEAD
0904010W0BIAGAE	0913451H0BBAAAA
0904010W0BJAAAE	0913261D0BBAAAB
0904010X0AAABAB	0913261H0AAAGAG
0904010X0BDAAAA	0913451E0BCAAAB
0904010X0BEAAAA	0913261H0BEAAAD
0904010X0BGAAAA	0913261P0BBAAAA
0904010X0BGABAA	0913261L0BBAAAA
0904010X0BGACAA	0913261H0BCAAAB
0904010X0BHABAA	0913451G0BBAAAA
0904010X0BHAEAA	0913261H0BDAAAC
0904010X0BIAAAA	0913261R0BEAAAC
0904010X0BIABAA	0913261H0BFAAAE
0904010X0BIACAA	0913261P0BDAAAD
0904010X0BIADAA	0913261H0BFABAE
0904010X0BIAEAB	0913261H0BFADAG
0904010X0BJABAA	0913261H0BBACAA
0904010Z0AAAPAP	0913261V0AAAEAE
0904010Z0BGAAAA	0913261R0BDABAD
0904010Z0BJABAA	0913261V0BCAAAB
0904010Z0BJACAA	0913261V0BCABAC
0904010Z0BJADAP	0913261V0BCACAE
0904010Z0BKAAAA	0913261R0BDAAAB
090402000AAAKAK	0913391A0AAABAB
090402000AAALAL	0914011N0AAABAB
090402000AAAMAM	0914011M0AAAAAA
090402000AAANAN	0913011M0AAAGAG
090402000AAAPAP	0913011F0AAADAD
090402000AAAQAQ	0913011M0AAAFAF
090402000AAARAR	0913011C0AAAHAH
090402000AAASAS	0913061B0AAABAB
090402000AAATAT	0913291A0AAACAC
090402000AAAUAU	0913011G0AAABAB
090402000AAAVAV	0913011G0AAAAAA
090402000AAAWAW	0914021D0AAAAAA
090402000AAAXAX	0914041A0AAAAAA
090402000AAAYAY	0913011S0AAAHAH
090402000AAAZAZ	0913011C0AAAJAJ
090402000AABABA	0913011N0AAAJAJ
090402000AABCBC	0913011C0AAAIAI
090402000AABDBD	0913011J0AAAIAI
090402000AABEBE	0913011N0AAAIAI
090402000AABGBG	0913011C0AAAKAK
090402000AABHBH	0913011C0AAALAL
090402000AABIBI	0913011N0AAAKAK
090402000AABMBM	0913011F0AAACAC
090402000AABNBN	0913361A0AAABAB
090402000AABPBP	0914032C0AAABAB
090402000AABQBQ	0913051E0AAAAAA
090402000AABRBR	0913051G0AAAAAA
090402000AABSBS	0913101A0AAAGAG
090402000AABTBT	0913011J0AAAHAH
090402000AABUBU	0913011S0AAAGAG
090402000AABVBV	0913011S0AAAFAF
090402000AABWBW	0913091C0AAAAAA
090402000AABXBX	0913011M0AAAHAH
090402000AABYBY	0913011M0AAAEAE
090402000AABZBZ	0914071C0AAAAAA
090402000AACACA	0913011D0AAADAD
090402000AACBCB	0914052A0AAABAB
090402000AACCCC	0913061C0AAABAB
090402000AACDCD	0913011D0AAACAC
090402000AACECE	0913342A0AAAAAA
090402000AACFCF	0913011X0AAABAB
090402000AACGCG	0913011X0AAAAAA
090402000AACHCH	0913011X0AAADAD
090402000AACICI	0913011X0AAACAC
090402000AACJCJ	0913011H0AAABAB
090402000AACKCK	0913011H0AAAAAA
090402000AACLCL	0913021J0AAABAB
090402000AACMCM	0913021J0AAAAAA
090402000AACPCP	0914051A0AAABAB
090402000AACQCQ	0913391A0AAACAC
090402000AACRCR	0913011D0AAAEAE
090402000AACSCS	0913011E0AAAFAF
090402000AACTCT	0913011B0AAADAD
090402000AACUCU	0913011E0AAAGAG
090402000AACVCV	0913011B0AAACAC
090402000AACWCW	0914021D0AAABAB
090402000AACXCX	0913391C0AAAAAA
090402000AACYCY	0914071C0AAABAB
090402000AACZCZ	0913011A0AAABAB
090402000AADADA	0914011I0AAACAC
090402000BBAJA0	0913011N0BFAAAG
090402000BBAWA0	0914011C0BBABAD
090402000BBBDA0	0914011C0BCAAAC
090402000BBBGA0	0913092A0BBAAAA
090402000BBBLA0	0913331A0BBAAAA
090402000BBBPA0	0914011B0BCAAAB
090402000BBBRA0	0913354A0BCABAC
090402000BBBSA0	0913371A0BBAAAA
090402000BBBTA0	0913354A0BBAAAA
090402000BBBUA0	0913371A0BCAAAB
090402000BBBZA0	0913021A0BBABAA
090402000BBCBA0	0914032A0BBAAAA
090402000BBCDA0	0913102A0BBAAAA
090402000BBCEAS	0913061B0BCAAAB
090402000BBCJA0	0914032B0BCAAAB
090402000BBCKA0	0914071B0BBAAAA
090402000BBDGA0	0914031A0BBAAAA
090402000BBDMAT	0913291A0BDABAC
090402000BBDNAT	0913291A0BDAAAC
090402000BBDTA0	0914033A0BBAAAA
090402000BBDUA0	0914011B0BBAAAA
090402000BBEBA0	0914071D0BBAAAA
090402000BBEUA0	0913011I0BBAAAC
090402000BBFHA0	0913061D0BBABAB
090402000BBFQA0	0914011H0BCAAAA
090402000BBFSA0	0913251A0BCAAAB
090402000BBFTA0	0913061E0BBAAAA
090402000BBGDA0	0913061D0BBAAAA
090402000BBGIA0	0914021B0BDAAAC
090402000BBGJA0	0914021E0BCAAAC
090402000BBGKA0	0913011E0BEAFAD
090402000BBGQA0	0914021B0BBAAAB
090402000BBHFA0	0914011I0BBAAAB
090402000BBHGA0	0913061B0BBAAAA
090402000BBHIA0	0913011E0BEACAD
090402000BBHJA0	0913011E0BEADAD
090402000BBHMA0	0914011F0BCAAAC
090402000BBHTA0	0913011L0BCAAAA
090402000BBHWA0	0913151A0BBAAAA
090402000BBIBA0	0914011E0BCAAAB
090402000BBIFA0	0913104A0BDAAAC
090402000BBIGAS	0913061B0BCABAB
090402000BBIPA0	0914021C0BCAAAA
090402000BBIQA0	0914011C0BDAAAA
090402000BBISA0	0913354A0BCAAAB
090402000BBIVA0	0913021A0BBAAAA
090402000BBIXA0	0913062A0BBAAAA
090402000BBJFA0	0914011J0BBAAAC
090402000BBJKA0	0913021B0BBAAAA
090402000BBJLA0	0913141F0BBABAA
090402000BBJMA0	0913141F0BBAAAA
090402000BBJQA0	0913011L0BBAAAB
090402000BBJSA0	0913021E0BEABAA
090402000BBJTA0	0913311C0BBABAA
090402000BBJUA0	0913311C0BBACAA
090402000BBJVA0	0913311C0BBADAA
090402000BBJWA0	0913311C0BBAEAA
090402000BBKFA0	0913011N0BIADAD
090402000BBKHA0	0913011N0BIAAAD
090402000BBKIA0	0913011N0BIABAD
090402000BBKJA0	0913011N0BIACAD
090402000BBKPA0	0914011C0BBACAE
090402000BBKSA0	0913011E0BCAAAB
090402000BBKTA0	0913011E0BCACAB
090402000BBKUA0	0913011E0BCAEAB
090402000BBKVA0	0913011E0BCADAB
090402000BBKWA0	0914011F0BBABAD
090402000BBKXA0	0913311E0BBABAA
090402000BBKZA0	0913311E0BBADAA
090402000BBLAA0	0913311E0BBACAA
090402000BBLBA0	0913011E0BEAEAD
090402000BBLEA0	0913021E0BDAAAC
090402000BBLFA0	0913311C0BDAAAC
090402000BBLGA0	0913021F0BBAAAA
090402000BBLHA0	0913021E0BCAAAB
090402000BBLJA0	0913011C0BFAFAC
090402000BBLKA0	0913021E0BEAAAA
090402000BBLLA0	0914011J0BCAAAA
090402000BBLRA0	0913011Q0BBAAAC
090402000BBLVA0	0913011N0BIAEAD
090402000BBLWA0	0913031A0BBAAAA
090402000BBMDA0	0913021F0BDAAAC
090402000BBMEA0	0913311C0BBAAAA
090402000BBMKA0	0914021A0BBAAAA
090402000BBMLA0	0914021F0BDAAAB
090402000BBMMA0	0913021F0BCAAAB
090402000BBMNA0	0913021E0BBAAAD
090402000BBMPA0	0914021E0BBAAAA
090402000BBMQA0	0914021C0BBAAAC
090402000BBMUA0	0913011E0BCABAB
090402000BBMZA0	0914021E0BDAAAB
090402000BBNAA0	0914021B0BEAAAA
090402000BBNBA0	0914021F0BCAAAA
090402000BBNCA0	0914021C0BDAAAB
090402000BBNDA0	0914011G0BCAAAB
090402000BBNEA0	0914011E0BBAAAA
090402000BBNFA0	0914011F0BDAAAA
090402000BBNHA0	0913011K0BDABAB
090402000BBNIA0	0913011U0BCAAAB
090402000BBNJA0	0914011L0BBAAAA
090402000BBNKA0	0914021F0BBAAAC
090402000BBNLA0	0913011N0BGAAAB
090402000BBNMA0	0914011H0BBAAAB
090402000BBNNA0	0913011I0BDAAAA
090402000BBNPA0	0914011B0BDAAAC
090402000BBNRA0	0913011E0BEAAAD
090402000BBNSA0	0913011E0BEABAD
090402000BBNTA0	0913011M0BDAAAB
090402000BBNUA0	0913371A0BBABAA
090402000BBNVA0	0914011D0BBAAAA
090402000BBNWA0	0913011K0BEAAAD
090402000BBNZA0	0913101A0BDAAAC
090402000BBPCA0	0913011E0BDAAAC
090402000BBPDA0	0913011E0BDABAC
090402000BBPEA0	0913011E0BDACAC
090402000BBPFA0	0913011E0BDADAC
090402000BBPGA0	0914011C0BDABAF
090402000BBPIA0	0913031B0BBAAAA
090402000BBPJA0	0913031B0BBABAA
090402000BBPKA0	0913031B0BBACAA
090402000BBPLA0	0913091A0BBAAAA
090402000BBPWA0	0913081B0BCAAAB
090402000BBPXA0	0913011J0BEADAA
090402000BBPYA0	0913011J0BEAAAA
090402000BBPZA0	0913011J0BEACAA
090402000BBQAA0	0913011J0BEABAA
090402000BBQBA0	0913011K0BDACAB
090402000BBQCA0	0913011N0BFABAH
090402000BBQFA0	0913341A0BBAAAA
090402000BBQKA0	0913011C0BCADAA
090402000BBQLA0	0913011C0BCABAA
090402000BBQMA0	0913011C0BCAEAA
090402000BBQYA0	0914033B0BBAAAA
090402000BBRAA0	0913011C0BCACAA
090402000BBRBA0	0913011C0BCAAAA
090402000BBRCA0	0913401A0BBAAAA
090402000BBREA0	0913331A0BBABAA
090402000BBRFA0	0913051A0BBAAAA
090402000BBRGA0	0913011Q0BCAAAA
090402000BBRIA0	0914033B0BCAAAB
090402000BBRJA0	0914041B0BBAAAA
090402000BBRKA0	0913011K0BDAAAB
090402000BBRLA0	0913011U0BBAAAA
090402000BBRMA0	0913011S0BFAAAE
090402000BBRPA0	0913321A0BBAAAA
090402000BBRQA0	0914032B0BBAAAA
090402000BBRRA0	0913011N0BEAAAA
090402000BBRVA0	0913207B0BBAAAA
090402000BBRWA0	0913311E0BBAAAA
090402000BBRXA0	0914041B0BDAAAB
090402000BBRYA0	0913011J0BDAAAG
090402000BBRZA0	0913011S0BDAAAC
090402000BBSAA0	0914011J0BBABAB
090402000BBSBA0	0913311C0BCAEAB
090402000BBSCA0	0913311C0BCAFAB
090402000BBSDA0	0913311C0BCAAAB
090402000BBSEA0	0914011G0BBAAAA
090402000BBSFA0	0913041A0BBAAAA
090402000BBSGA0	0913051A0BBABAA
090402000BBSIA0	0913011V0BDAAAD
090402000BBSJA0	0913011V0BDABAF
090402000BBSLA0	0914011F0BBAAAB
090402000BBSMA0	0914011C0BBAAAB
090402000BBSNA0	0914011H0BDAAAC
090402000BBSPA0	0913311C0BCACAB
090402000BBSQA0	0913311C0BCADAB
090402000BBSSA0	0913021F0BBABAA
090402000BBSTA0	0913093A0BBAAAA
090402000BBSUA0	0913051B0BBAAAA
090402000BBSVA0	0913051B0BBABAB
090402000BBSZA0	0913021D0BBAAAA
090402000BBTBA0	0913031A0BCABAB
090402000BBTDA0	0914041C0BBAAAA
090402000BBTEA0	0913011C0BCAFAE
090402000BBTGA0	0913091B0BBAAAA
090402000BBTHA0	0913021G0BBAAAA
090402000BBTIA0	0913142C0BCAAAA
090402000BBTJA0	0913142C0BCABAA
090402000BBTKA0	0914034A0BBAAAA
090402000BBTPA0	0913051D0BBAAAA
090402000BBTQA0	0913101A0BEAAAD
090402000BBTRA0	0913011T0BBABAA
090402000BBTSA0	0913011J0BFAJAC
090402000BBTTA0	0913011J0BFAHAC
090402000BBTUA0	0913011J0BFAIAC
090402000BBTVA0	0913011J0BFAGAC
090402000BBTWA0	0913011J0BFAFAC
090402000BBTXA0	0914011A0BBAAAA
090402000BBTYA0	0913011M0BFAAAC
090402000BBUAA0	0913103A0BBAAAA
090402000BBUBA0	0913011W0BBABAB
090402000BBUCA0	0913311C0BCABAB
090402000BBUDA0	0913141F0BCAAAB
090402000BBUEA0	0913392A0BBAAAA
090402000BBUFA0	0913011W0BBAAAA
090402000BBUGA0	0913011C0BGAAAD
090402000BBUHA0	0913011C0BGABAD
090402000BBUIA0	0913011C0BGACAD
090402000BBUJA0	0913011C0BGADAD
090402000BBUMA0	0913051C0BBAAAA
090402000BBUNA0	0913011T0BBAAAA
090402000BBUUA0	0914032B0BDAAAC
090402000BBUVA0	0913311B0BCAEAC
090402000BBUWA0	0913021B0BCAAAB
090402000BBUXA0	0913011V0BBADAA
090402000BBUYA0	0913011V0BBACAA
090402000BBUZA0	0913011K0BBABAA
090402000BBVAA0	0913011K0BBAAAA
090402000BBVBA0	0913011J0BGAEAE
090402000BBVCA0	0913011J0BGADAE
090402000BBVDA0	0913011C0BBAHAG
090402000BBVHA0	0913081A0BBAAAA
090402000BBVIA0	0913081A0BBABAA
090402000BBVJA0	0913392A0BBABAA
090402000BBVLA0	0913094A0BBAAAA
090402000BBVMA0	0913011C0BEADAB
090402000BBVNA0	0913011C0BEAAAB
090402000BBVPA0	0913011C0BEABAB
090402000BBVQA0	0913011C0BEACAB
090402000BBVRA0	0913551A0BBAAAA
090402000BBVSA0	0913551A0BBABAA
090402000BBVTA0	0913011V0BCAAAC
090402000BBVUA0	0913021C0BBAAAA
090402000BBVVA0	0913011K0BCAAAE
090402000BBVWA0	0913011N0BCABAF
090402000BBVXA0	0914071A0BBABAB
090402000BBVYA0	0913141F0BBACAA
090402000BBWAA0	0913141B0BDABAC
090402000BBWBA0	0913141B0BDAAAC
090402000BBWCA0	0913141B0BDACAC
090402000BBWDA0	0913011V0BBABAA
090402000BBWEA0	0913011V0BBAAAA
090402000BBWFA0	0913011J0BGABAE
090402000BBWGA0	0913011J0BFAAAB
090402000BBWHA0	0913011J0BFABAB
090402000BBWIA0	0913011J0BFACAB
090402000BBWJA0	0913011J0BFADAB
090402000BBWKA0	0913011J0BFAEAB
090402000BBWLA0	0913011N0BCAAAE
090402000BBWMA0	0913311A0BCAAAB
090402000BBWNA0	0913311A0BCADAC
090402000BBWPA0	0913311B0BBAAAA
090402000BBWQA0	0913311B0BBABAA
090402000BBWSA0	0913311A0BCACAB
090402000BBWTA0	0913311A0BCABAB
090402000BBWUA0	0913141B0BDADAD
090402000BBWVA0	0913011C0BFAGAF
090402000BBWWA0	0913011I0BCAAAB
090402000BBWXA0	0913011J0BGAAAD
090402000BBWYA0	0913011V0BBAEAB
090402000BBWZA0	0914011K0BBAAAA
090402000BBXAA0	0913141C0BBAGAA
090402000BBXBA0	0913141C0BBAEAA
090402000BBXCA0	0913051F0BBACAA
090402000BBXDA0	0913051F0BBABAA
090402000BBXEA0	0913051F0BBAFAB
090402000BBXFA0	0913051F0BBAEAB
090402000BBXGA0	0913311A0BBADAA
090402000BBXHA0	0913311A0BBACAA
090402000BBXIA0	0913311A0BBAAAA
090402000BBXJA0	0913311A0BBABAA
090402000BBXQA0	0914011L0BCAAAB
090402000BBXRA0	0913011S0BEAAAD
090402000BBXSA0	0913141A0BBACAA
090402000BBXTA0	0913141B0BBABAA
090402000BBXUA0	0913141B0BBACAA
090402000BBXVA0	0913011T0BCAAAB
090402000BBXWA0	0913011V0BEAAAE
090402000BBXYA0	0913011N0BHAAAC
090402000BBXZA0	0913011N0BHACAC
090402000BBYAA0	0913011N0BHADAC
090402000BBYBA0	0913011N0BHABAC
090402000BBYCA0	0914041C0BCAAAB
090402000BBYEA0	0913021H0BBAAAA
090402000BBYGA0	0913141B0BBADAE
090402000BBYHA0	0913011Q0BDAAAB
090402000BBYJA0	0913011M0BFABAD
090402000BBYMA0	0913021I0BBAAAA
090402000BBYNA0	0914052A0BBAAAA
090402000BBYPA0	0913011L0BDAAAC
090402000BBYQA0	0913011J0BBAAAF
090402000BBYRA0	0913011S0BBADAB
090402000BBYSA0	0913011W0BCAAAC
090402000BBYTA0	0913011C0BFAAAC
090402000BBYUA0	0913011C0BFABAC
090402000BBYVA0	0913011C0BFACAC
090402000BBYWA0	0913011C0BFADAC
090402000BBYXA0	0913011C0BFAEAC
090402000BBYYA0	0913011D0BCAAAB
090402000BBYZA0	0913011D0BCABAB
090402000BBZAA0	0913011D0BCACAB
090402000BBZBA0	0913011D0BCADAB
090402000BBZCA0	0913011D0BCAEAB
090402000BBZDA0	0913011K0BBACAC
090402000BBZEAR	0913011C0BBAAAH
090402000BBZFAR	0913011C0BBABAH
090402000BBZGAR	0913011C0BBACAH
090402000BBZHAR	0913011C0BBAEAH
090402000BBZIAR	0913011C0BBAFAH
090402000BBZJAR	0913011C0BBAGAH
090402000BBZKA0	0913151A0BBABAA
090402000BBZLA0	0913311B0BCAAAB
090402000BBZMA0	0913311B0BCABAB
090402000BBZNA0	0913311B0BCACAB
090402000BBZPA0	0913311B0BCADAB
090402000BBZQA0	0913011E0BBADAA
090402000BBZRA0	0913011E0BBACAA
090402000BBZSA0	0913011E0BBAAAA
090402000BBZTA0	0913011E0BBABAA
090402000BBZUA0	0913011E0BBAEAE
090402000BBZVA0	0913011N0BEABAA
090402000BBZWA0	0913011F0BBADAA
090402000BBZXA0	0913011F0BBAFAA
090402000BBZYA0	0913011F0BBABAA
090402000BBZZA0	0913011F0BBAEAA
090402000BDAAA0	0913011F0BBAAAA
090402000BDABA0	0913011F0BBAGAB
090402000BDACA0	0913011A0BBABAA
090402000BDADA0	0913011A0BBAAAA
090402000BDAEA0	0913011R0BBAAAA
090402000BDAFA0	0913011B0BBAAAA
090402000BDAGA0	0913011B0BBABAA
090402000BDAHA0	0913011B0BBACAA
090402000BDAIA0	0913011B0BBADAA
090402000BDAJA0	0913011B0BBAEAB
090402000BDAKA0	0913011D0BCAFAA
090402000BDALAR	0913011C0BBAIAH
090402000BDAMA0	0913011J0BGACAE
090402000BDAPA0	0913011S0BBAAAA
090402000BDAQA0	0913031A0BCAAAB
090402000BDARA0	0913081B0BBAAAA
090402000BDASA0	0914011I0BCAAAA
090402000BDAUA0	0914071A0BBAAAA
090402000BDAVAL	0914011N0BBAAAB
090402000BDAWAM	0914011M0BBAAAA
090402000BDAXAN	0913011M0BCABAG
090402000BDAYAP	0913011F0BCABAD
090402000BDAZAP	0913011F0BCACAD
090402000BDBAAP	0913011F0BCADAD
090402000BDBBAP	0913011F0BCAEAD
090402000BDBCAP	0913011F0BCAFAD
090402000BDBDA0	0913141A0BBABAA
090402000BDBEAQ	0913011M0BCAAAF
090402000BDBFAU	0913011G0BBABAB
090402000BDBGAU	0913011G0BBACAB
090402000BDBHAU	0913011G0BBADAB
090402000BDBIAV	0913011G0BBAAAA
090402000BDBJAW	0914021D0BBAAAA
090402000BDBKAX	0914041A0BBAAAA
090402000BDBLAY	0913011S0BCAAAH
090402000BDBMBE	0913011N0BBABAI
090402000BDBPBG	0913011C0BFAHAK
090402000BDBQBH	0913011C0BFAIAL
090402000BDBRBI	0913011N0BBAAAK
090402000BDBZBM	0913011F0BCAAAC
090402000BDCAAR	0913011C0BBADAH
090402000BDCBBN	0913361A0BBACAB
090402000BDCCBP	0914032C0BCAAAB
090402000BDCDA0	0913141B0BBAAAA
090402000BDCEBQ	0913051E0BBABAA
090402000BDCFBQ	0913051E0BBACAA
090402000BDCGBR	0913051G0BBABAA
090402000BDCHBR	0913051G0BBACAA
090402000BDCIBS	0913101A0BFAAAG
090402000BDCJAZ	0913011C0BDAFAJ
090402000BDCKAZ	0913011C0BDACAJ
090402000BDCLAZ	0913011C0BDAEAJ
090402000BDCMAZ	0913011C0BDABAJ
090402000BDCNAZ	0913011C0BDADAJ
090402000BDCPBA	0913011N0BDAAAJ
090402000BDCRBC	0913011C0BDAAAI
090402000BDCSBD	0913011J0BCAAAI
090402000BDCTBT	0913011J0BBABAH
090402000BDCUBU	0913011S0BBACAG
090402000BDCVA0	0913011F0BBACAA
090402000BDCWBV	0913011S0BBABAF
090402000BDCXBW	0913091C0BBAAAA
090402000BDCYBQ	0913051E0BBAAAA
090402000BDCZA0	0913051F0BBAAAA
090402000BDDAA0	0913051F0BBADAB
090402000BDDBBR	0913051G0BBAAAA
090402000BDDCA0	0913141A0BBAAAA
090402000BDDDBX	0913011M0BBAAAH
090402000BDDEBY	0913011M0BBABAE
090402000BDDGBZ	0914071C0BBAAAA
090402000BDDHCA	0913011D0BBABAD
090402000BDDICA	0913011D0BBACAD
090402000BDDJCA	0913011D0BBADAD
090402000BDDKCA	0913011D0BBAEAD
090402000BDDLCA	0913011D0BBAFAD
090402000BDDMCB	0914052A0BBABAB
090402000BDDNCC	0913061C0BCAAAB
090402000BDDPCD	0913011D0BBAAAC
090402000BDDQCE	0913342A0BBAAAA
090402000BDDRCF	0913011X0BBABAB
090402000BDDSCG	0913011X0BBAAAA
090402000BDDTCH	0913011X0BCABAD
090402000BDDUCI	0913011X0BCAAAC
090402000BDDVCJ	0913011H0BBABAB
090402000BDDWCJ	0913011H0BBACAB
090402000BDDXCJ	0913011H0BBADAB
090402000BDDYCJ	0913011H0BBAEAB
090402000BDDZCJ	0913011H0BBAFAB
090402000BDEACK	0913011H0BBAAAA
090402000BDEBCL	0913021J0BBABAB
090402000BDECCL	0913021J0BBACAB
090402000BDEDCL	0913021J0BBADAB
090402000BDEECL	0913021J0BBAEAB
090402000BDEFCM	0913021J0BBAAAA
090402000BDEGCP	0914051A0BCAAAB
090402000BDEHCQ	0913391A0BCAAAC
090402000BDEICR	0913011D0BDAAAE
090402000BDEJCS	0913011E0BFAAAF
090402000BDEKCS	0913011E0BFABAF
090402000BDELCS	0913011E0BFACAF
090402000BDEMCS	0913011E0BFADAF
090402000BDENCT	0913011B0BCABAD
090402000BDEPCT	0913011B0BCACAD
090402000BDEQCT	0913011B0BCADAD
090402000BDERCT	0913011B0BCAEAD
090402000BDESCU	0913011E0BFAEAG
090402000BDETCV	0913011B0BCAAAC
090402000BDEUCW	0914021D0BBABAB
090402000BDEVCL	0913021J0BBAFAB
090402000BDEWCX	0913391C0BBAAAA
090402000BDEYCY	0914071C0BCAAAB
090402000BDEZA0	0913011A0BBACAA
090402000BDFACZ	0913011A0BBADAB
090402000BDFBA0	0914032A0BCAAAB
090402000BDFCA0	0914021B0BCAAAD
090402000BDFDA0	0914032A0BDAAAC
090402000BDFEA0	0914021F0BEAAAD
090402000BDFFA0	0914041B0BCAAAC
090402000BDFGA0	0914035A0BBAAAA
090402000BDFIDA	0914011I0BDAAAC
090607000BBLQA0	0913473A0BBAAAA
090607000BBLRA0	0913473B0BBAAAA
090900000BBHLA0	0913356A0BDAAAD
090900000BBHZA0	0913352A0BCAAAB
090900000BBIBA0	0913105A0BBAAAA
090900000BBIRA0	0913531A0BCAAAB
090900000BBJKA0	0913356A0BEAAAE
090900000BBJTA0	0913491A0BCAAAC
090900000BBKJA0	0913381A0BBAAAA
090900000BBKKA0	0913104A0BCAAAB
090900000BBKMA0	0914011N0BCABAA
090900000BBKNA0	0913511A0BCAAAB
090900000BBKPA0	0913381B0BBAAAA
090900000BBKQA0	0913101A0BCAAAB
090900000BBKRA0	0913101A0BBAAAA
090900000BBKSA0	0913356A0BCABAC
090900000BBKTA0	0913531A0BBAAAA
090900000BBKUA0	0913356A0BCAAAB
090900000BBKVA0	0913356A0BBAAAA
090900000BBKWA0	0913107A0BBAAAA
090900000BBKXA0	0913352A0BBAAAA
090900000BBKYA0	0913491A0BBABAB
090900000BBKZA0	0913491A0BBAAAA
090900000BBLAA0	0913501A0BCAAAC
090900000BBLBA0	0913501A0BCABAD
090900000BBLIA0	0913541A0BBACAA
090900000BBLJA0	0913541A0BBAAAA
090900000BBLKA0	0913111B0BCAAAB
090900000BBLLA0	0913111A0BCAAAB
090900000BBLMA0	0913104A0BBAAAA
090900000BBLNA0	0913108A0BBAAAA
090900000BBLPA0	0913501A0BBABAB
090900000BBLRA0	0913501A0BBAAAA
090900000BBLSA0	0913511A0BBAAAA
090900000BBLVA0	0914011N0BCAAAA
090900000BBLWA0	0913541A0BBABAA
091000000BBWGA0	0913471B0BBAAAA
091000000BBWKBT	0913471B0BBABAB
091000000BBWVBU	0913472A0BBAAAA
091000000BBXAA0	0913282B0BBAAAA
091000000BBXBA0	0913282B0BBABAB
091000000BBXCA0	0913282A0BBAAAA
091000000BBXDA0	0913282B0BBACAC
091101000AADUDU	0913445A0AAADAD
091101000AAFGFG	0913213A0AAAFAF
091101000AAFHFH	0913213A0AAAGAG
091101000AAFIFI	0913445A0AAACAC
091101000AAFPFP	0913445A0AAAGAG
091101000AAFTFT	0913445A0AAAFAF
091101000AAFYFY	0914081A0AAAAAA
091101000AAFZFZ	0913445A0AAAEAE
091101000AAGCGC	0913445A0AAABAB
091101000AAGEGE	0913206H0AAAAAA
091101000BBPLFP	0913445A0BGAAAG
091101000BBTQA0	0913213A0BBAAAA
091101000BBTRA0	0913213A0BDAAAC
091101000BBTZA0	0913213A0BCAAAB
091101000BBUBA0	0913141C0BBAAAB
091101000BBUCFH	0913213A0BHAAAG
091101000BBUGA0	0914051A0BBAAAA
091101000BBUHA0	0913141C0BBAFAA
