"PCO12CD","PCO12CDO","PCO12NM","SHA12CD","SHA12CDO","SHA12NM"
"E16000110","5P8","Hastings and Rother","E18000008","Q37","South East Coast"
"E16000111","5P9","West Kent","E18000008","Q37","South East Coast"
"E16000112","5PA","Leicestershire County and Rutland","E18000004","Q33","East Midlands"
"E16000113","5PC","Leicester City","E18000004","Q33","East Midlands"
"E16000114","5PD","Northamptonshire Teaching","E18000004","Q33","East Midlands"
"E16000115","5PE","Dudley","E18000005","Q34","West Midlands"
"E16000116","5PF","Sandwell","E18000005","Q34","West Midlands"
"E16000117","5PG","Birmingham East and North","E18000005","Q34","West Midlands"
"E16000118","5PH","North Staffordshire","E18000005","Q34","West Midlands"
"E16000119","5PJ","Stoke on Trent","E18000005","Q34","West Midlands"
"E16000120","5PK","South Staffordshire","E18000005","Q34","West Midlands"
"E16000121","5PL","Worcestershire","E18000005","Q34","West Midlands"
"E16000122","5PM","Warwickshire","E18000005","Q34","West Midlands"
"E16000123","5PN","Peterborough","E18000006","Q35","East of England"
"E16000124","5PP","Cambridgeshire","E18000006","Q35","East of England"
"E16000125","5PQ","Norfolk","E18000006","Q35","East of England"
"E16000126","5PR","Great Yarmouth and Waveney","E18000006","Q35","East of England"
"E16000127","5PT","Suffolk","E18000006","Q35","East of England"
"E16000128","5PV","West Essex","E18000006","Q35","East of England"
"E16000129","5PW","North East Essex","E18000006","Q35","East of England"
"E16000130","5PX","Mid Essex","E18000006","Q35","East of England"
"E16000131","5PY","South West Essex","E18000006","Q35","East of England"
"E16000132","5QA","Eastern and Coastal Kent","E18000008","Q37","South East Coast"
"E16000133","5QC","Hampshire","E18000009","Q38","South Central"
"E16000134","5QD","Buckinghamshire","E18000009","Q38","South Central"
"E16000135","5QE","Oxfordshire","E18000009","Q38","South Central"
"E16000136","5QF","Berkshire West","E18000009","Q38","South Central"
"E16000137","5QG","Berkshire East","E18000008","Q37","South East Coast"
"E16000137","5QG","Berkshire East","E18000009","Q38","South Central"
"E16000138","5QH","Gloucestershire","E18000010","Q39","South West"
"E16000139","5QJ","Bristol","E18000010","Q39","South West"
"E16000140","5QK","Wiltshire","E18000010","Q39","South West"
"E16000141","5QL","Somerset","E18000010","Q39","South West"
"E16000142","5QM","Dorset","E18000010","Q39","South West"
"E16000143","5QN","Bournemouth and Poole Teaching","E18000010","Q39","South West"
"E16000144","5QP","Cornwall and Isles of Scilly","E18000010","Q39","South West"
"E16000145","5QQ","Devon","E18000010","Q39","South West"
"E16000146","5QR","Redcar and Cleveland","E18000001","Q30","North East"
"E16000147","5QT","Isle of Wight National Health Service","E18000009","Q38","South Central"
"E16000148","5HQ","Bolton Teaching","E18000002","Q31","North West"
"E16000149","5NT","Manchester Teaching","E18000002","Q31","North West"
"E16000150","5QV","Hertfordshire","E18000006","Q35","East of England"
"E17000001","TAC","Northumberland","E18000001","Q30","North East"
"E17000002","TAK","Bexley","E18000007","Q36","London"
"E17000003","TAL","Torbay","E18000010","Q39","South West"
"E16000151","5QW","Solihull","E18000005","Q34","West Midlands"
"E17000005","TAN","North East Lincolnshire","E18000003","Q32","Yorkshire and the Humber"
"E17000006","TAP","Blackburn with Darwen Teaching","E18000002","Q31","North West"
