ons_code,hscic_code,name
E39000001,Q44,"Cheshire, Warrington and Wirral"
E39000002,Q45,"Durham, Darlington and Tees"
E39000003,Q46,Greater Manchester
E39000004,Q47,Lancashire
E39000005,Q48,Merseyside
E39000006,Q49,"Cumbria, Northumberland, Tyne and Wear"
E39000007,Q50,North Yorkshire and Humber
E39000008,Q51,South Yorkshire and Bassetlaw
E39000009,Q52,West Yorkshire
E39000010,Q53,"Arden, Herefordshire and Worcestershire"
E39000011,Q54,Birmingham and the Black Country
E39000012,Q55,Derbyshire and Nottinghamshire
E39000013,Q56,East Anglia
E39000014,Q57,Essex
E39000015,Q58,Hertfordshire and the South Midlands
E39000016,Q59,Leicestershire and Lincolnshire
E39000017,Q60,Shropshire and Staffordshire
E39000018,Q71,London
E39000019,Q64,"Bath, Gloucestershire, Swindon and Wiltshire"
E39000020,Q65,"Bristol, North Somerset, Somerset and South Gloucestershire"
E39000021,Q66,"Devon, Cornwall and Isles of Scilly"
E39000022,Q67,Kent and Medway
E39000023,Q68,Surrey and Sussex
E39000024,Q69,Thames Valley
E39000025,Q70,Wessex
