"PCO12CD","PCO12CDO","PCO12NM"
"E16000084","5NC","Waltham Forest"
"E16000085","5ND","County Durham"
"E16000086","5NE","Cumbria Teaching"
"E16000087","5NF","North Lancashire Teaching"
"E16000088","5NG","Central Lancashire"
"E16000089","5NH","East Lancashire Teaching"
"E16000090","5NJ","Sefton"
"E16000091","5NK","Wirral"
"E16000092","5NL","Liverpool"
"E16000093","5NM","Halton and St Helens"
"E16000094","5NN","Western Cheshire"
"E16000095","5NP","Central and Eastern Cheshire"
"E16000096","5NQ","Heywood, Middleton and Rochdale"
"E16000097","5NR","Trafford"
"E16000099","5NV","North Yorkshire and York"
"E16000100","5NW","East Riding of Yorkshire"
"E16000101","5NX","Hull Teaching"
"E16000102","5NY","Bradford and Airedale Teaching"
"E16000103","5P1","South East Essex"
"E16000104","5P2","Bedfordshire"
"E16000107","5P5","Surrey"
"E16000108","5P6","West Sussex"
"E16000109","5P7","East Sussex Downs and Weald"
"E16000110","5P8","Hastings and Rother"
"E16000111","5P9","West Kent"
"E16000112","5PA","Leicestershire County and Rutland"
"E16000113","5PC","Leicester City"
"E16000114","5PD","Northamptonshire Teaching"
"E16000115","5PE","Dudley"
"E16000116","5PF","Sandwell"
"E16000117","5PG","Birmingham East and North"
"E16000118","5PH","North Staffordshire"
"E16000119","5PJ","Stoke on Trent"
"E16000120","5PK","South Staffordshire"
"E16000121","5PL","Worcestershire"
"E16000122","5PM","Warwickshire"
"E16000123","5PN","Peterborough"
"E16000124","5PP","Cambridgeshire"
"E16000125","5PQ","Norfolk"
"E16000126","5PR","Great Yarmouth and Waveney"
"E16000127","5PT","Suffolk"
"E16000128","5PV","West Essex"
"E16000129","5PW","North East Essex"
"E16000130","5PX","Mid Essex"
"E16000131","5PY","South West Essex"
"E16000132","5QA","Eastern and Coastal Kent"
"E16000133","5QC","Hampshire"
"E16000134","5QD","Buckinghamshire"
"E16000135","5QE","Oxfordshire"
"E16000136","5QF","Berkshire West"
"E16000137","5QG","Berkshire East"
"E16000138","5QH","Gloucestershire"
"E16000139","5QJ","Bristol"
"E16000140","5QK","Wiltshire"
"E16000141","5QL","Somerset"
"E16000142","5QM","Dorset"
"E16000143","5QN","Bournemouth and Poole Teaching"
"E16000144","5QP","Cornwall and Isles of Scilly"
"E16000145","5QQ","Devon"
"E16000146","5QR","Redcar and Cleveland"
"E16000147","5QT","Isle of Wight National Health Service"
"E16000148","5HQ","Bolton Teaching"
"E16000149","5NT","Manchester Teaching"
"E16000150","5QV","Hertfordshire"
"E16000151","5QW","Solihull"
"E17000001","TAC","Northumberland"
"E17000002","TAK","Bexley"
"E17000003","TAL","Torbay"
"E17000005","TAN","North East Lincolnshire"
"E17000006","TAP","Blackburn with Darwen Teaching"
